population,city,country,latitude,longitude
0.97,Naples,Italy,40.8333,14.25
0.97,Huilong,China,31.8131,121.6574
0.97,Wuchuan,China,21.4283,110.7749
0.97,Oklahoma City,United States,35.4676,-97.5136
0.96,Al Manşūrah,Egypt,31.05,31.3833
0.96,Morelia,Mexico,19.7683,-101.1894
0.96,Asmara,Eritrea,15.3333,38.9167
0.96,Cebu City,Philippines,10.293,123.902
0.96,Shaoxing,China,30.0,120.5833
0.96,Coimbatore,India,11.0,76.9667
0.95,Kermānshāh,Iran,34.3167,47.0686
0.95,Feicheng,China,36.186,116.772
0.95,Fangchenggang,China,21.6,108.3
0.95,Anqiu,China,36.3619,119.1072
0.95,Tangier,Morocco,35.7767,-5.8039
0.95,Solāpur,India,17.6715,75.9104
0.95,Sŏngnam,South Korea,37.4386,127.1378
0.95,Taishan,China,22.2486,112.785
0.95,Santo Domingo Este,Dominican Republic,18.4855,-69.8734
0.95,Freetown,Sierra Leone,8.4833,-13.2331
0.95,Vientiane,Laos,17.9667,102.6
0.94,Setagaya,Japan,35.6464,139.6533
0.94,Kitakyūshū,Japan,33.8833,130.8833
0.94,Meishan,China,34.1736,112.839
0.94,Khartoum North,Sudan,15.6333,32.6333
0.94,Kisangani,Congo (Kinshasa),0.5153,25.1911
0.93,Aguascalientes,Mexico,21.876,-102.296
0.93,Marrakech,Morocco,31.6295,-7.9811
0.93,Donetsk,Ukraine,48.0089,37.8042
0.92,Trichinopoly,India,10.8269,78.6928
0.92,Taihecun,China,45.768,131.0063
0.92,Xin’an,China,34.3662,118.3369
0.92,Bridgeport,United States,41.1918,-73.1953
0.92,Taihe,China,30.8706,105.3784
0.92,Trujillo,Peru,-8.1119,-79.0289
0.92,Jerusalem,Israel,31.7833,35.2167
0.91,Buffalo,United States,42.9016,-78.8487
0.91,Naucalpan de Juárez,Mexico,19.4753,-99.2378
0.91,Owerri,Nigeria,5.4833,7.0333
0.91,Padang,Indonesia,-0.9556,100.3606
0.91,Qingzhou,China,36.6967,118.4797
0.91,Hartford,United States,41.7661,-72.6834
0.91,Zhuanghe,China,39.6896,122.9664
0.91,Campo Grande,Brazil,-20.4686,-54.6222
0.91,Hengzhou,China,22.6896,109.2674
0.91,Fort Worth,United States,32.7811,-97.3473
0.91,Daye,China,30.1003,114.9699
0.91,Lichuan,China,30.2965,108.9378
0.9,Bobo-Dioulasso,Burkina Faso,11.1833,-4.2833
0.9,Ad Dammām,Saudi Arabia,26.4333,50.1
0.9,Jiaozhou,China,36.2481,119.9625
0.9,Lhasa,China,29.6458,91.1408
0.89,Taguig City,Philippines,14.5167,121.05
0.89,Antipolo,Philippines,14.5842,121.1763
0.89,Mérida,Mexico,20.97,-89.62
0.89,Abeokuta,Nigeria,7.15,3.35
0.89,Hubli,India,15.3619,75.1231
0.89,Tucson,United States,32.1545,-110.8782
0.89,Dengtalu,China,36.0819,114.3481
0.89,Bangui,Central African Republic,4.3732,18.5628
0.89,Yangchun,China,22.1717,111.7846
0.89,Cancún,Mexico,21.1606,-86.8475
0.88,Krasnodar,Russia,45.0333,38.9833
0.88,Natal,Brazil,-5.795,-35.2089
0.88,Chihuahua,Mexico,28.6353,-106.0889
0.88,Klang,Malaysia,3.0333,101.45
0.88,Panama City,Panama,9.0,-79.5
0.87,Malang,Indonesia,-7.98,112.62
0.87,Hai’an,China,32.532,120.4604
0.87,Ipoh,Malaysia,4.6,101.07
0.87,Gaomi,China,36.3833,119.75
0.87,Marseille,France,43.2964,5.37
0.87,Kaifeng Chengguanzhen,China,34.8519,114.3481
0.87,Jalandhar,India,31.3256,75.5792
0.87,Bucheon,South Korea,37.4989,126.7831
0.87,Turin,Italy,45.0667,7.7
0.87,Laiyang,China,36.9758,120.7136
0.87,Ar Ramādī,Iraq,33.4258,43.2992
0.86,Ikeja,Nigeria,6.6186,3.3426
0.86,Amsterdam,Netherlands,52.3667,4.8833
0.86,Hermosillo,Mexico,29.0989,-110.9542
0.86,Saltillo,Mexico,25.4333,-101.0
0.86,Weichanglu,China,37.1792,119.9333
0.85,Shache,China,38.4261,77.25
0.85,Omaha,United States,41.2627,-96.0522
0.85,Sale,Morocco,34.05,-6.8167
0.85,Oran,Algeria,35.6969,-0.6331
0.85,Erbil,Iraq,36.1911,44.0094
0.85,Leping,China,28.9632,117.1203
0.85,Saratov,Russia,51.5333,46.0
0.85,Teresina,Brazil,-5.0949,-42.8042
0.85,Ilorin,Nigeria,8.5,4.55
0.85,Macheng,China,31.1817,115.0189
0.85,Hailun,China,47.4585,126.9632
0.85,Akure,Nigeria,7.25,5.195
0.84,Yuci,China,37.6823,112.7281
0.84,Iguaçu,Brazil,-22.74,-43.47
0.84,El Paso,United States,31.8479,-106.4309
0.84,Dehui,China,44.5323,125.6965
0.84,Bhubaneshwar,India,20.2644,85.8281
0.84,Lomé,Togo,6.1319,1.2228
0.83,Tongchuan,China,34.9057,108.9422
0.83,Warri,Nigeria,5.5167,5.75
0.83,Rongjiawan,China,29.1409,113.1087
0.83,Denpasar,Indonesia,-8.6667,115.2167
0.83,Pointe-Noire,Congo (Brazzaville),-4.7889,11.8653
0.83,Cheongju,South Korea,36.6372,127.4897
0.82,Honolulu,United States,21.3294,-157.846
0.82,Renqiu,China,38.7094,116.1008
0.82,Butterworth,Malaysia,5.3992,100.3639
0.82,Sakai,Japan,34.5667,135.4833
0.82,Xindi,China,29.8182,113.4653
0.82,Wu’an,China,36.6941,114.1847
0.82,São Bernardo do Campo,Brazil,-23.6939,-46.565
0.81,Culiacán,Mexico,24.8069,-107.3939
0.81,Hejian,China,38.4451,116.0897
0.81,Puxi,China,35.2125,114.735
0.81,Zijinglu,China,34.7513,112.9854
0.81,Yiyang,China,26.4103,112.3913
0.81,Gaoyou,China,32.7847,119.4432
0.8,Pasig City,Philippines,14.575,121.0833
0.8,João Pessoa,Brazil,-7.12,-34.88
0.8,Qingping,China,34.538,113.3796
0.8,Abaeté,Brazil,-19.1583,-45.4522
0.8,Querétaro,Mexico,20.5875,-100.3928
0.8,McAllen,United States,26.2273,-98.2471
0.8,Palermo,Colombia,2.8883,-75.4339
0.8,Libreville,Gabon,0.3901,9.4544
0.79,Zagreb,Croatia,45.8131,15.9772
0.79,Valencia,Spain,39.47,-0.3764
0.79,Niigata,Japan,37.9161,139.0364
0.79,Leeds,United Kingdom,53.7997,-1.5492
0.79,Morādābād,India,28.8437,78.7548
0.79,Hamamatsu,Japan,34.7167,137.7333
0.79,Xiangxiang,China,27.7389,112.5223
0.78,Lilongwe,Malawi,-13.9833,33.7833
0.78,Dushanbe,Tajikistan,38.5731,68.7864
0.78,Chaohucun,China,31.6783,117.7353
0.78,Homs,Syria,34.7333,36.7167
0.78,Lubango,Angola,-14.9167,13.5
0.77,Kraków,Poland,50.0614,19.9372
0.77,Dali,China,25.7003,100.1564
0.77,Hamhŭng,North Korea,39.9167,127.5333
0.77,San Luis Potosí,Mexico,22.1511,-100.9761
0.77,Cencheng,China,22.9297,111.0186
0.77,Fuyang,China,30.0553,119.95
